Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
3/25/2022,454.64,53.13,53.09,55.47
3/24/2022,452.36,53.06,54.18,55.87
3/23/2022,447.39,52.76,54.69,55.23
3/22/2022,453.07,53.7,55.04,55.85
3/21/2022,447.61,53.03,53,
3/18/2022,447.7,53.57,55.06,55.5
3/17/2022,442.96,53.09,52.64,54.51
3/16/2022,437.52,52.76,54.7,53.52
3/15/2022,428.04,50.77,45.23,53.08
3/14/2022,418.82,50.44,45.57,52.87
3/11/2022,422.01,49.51,49.1,53.35
3/10/2022,427.34,49.97,51.38,53.46
3/9/2022,429.31,50.93,53.74,53.97
3/8/2022,418.06,48.41,52.71,53.33
3/7/2022,421.2,47.29,53.36,52.37
3/4/2022,433.95,48.93,55.47,53.4
3/3/2022,437.69,51.09,56.63,53.59
3/2/2022,439.8,52.47,58.16,53.4
3/1/2022,431.92,51.77,58.59,53.12
2/28/2022,438.72,53.2,58.61,53.39
2/25/2022,439.61,54.43,59.27,52.53
2/24/2022,430.14,52.88,58.96,51.45
2/23/2022,423.48,53.89,59.27,51.32
2/22/2022,431.34,54.33,59.92,52.6
2/21/2022,,,,52
2/18/2022,436.07,55.18,61.57,52.3
2/17/2022,439.1,55.54,62.76,52.7
2/16/2022,448.51,56.52,63.25,53.65
2/15/2022,448,56.28,63.16,53.2
2/14/2022,440.91,55.06,61.74,52.28
2/11/2022,442.35,55.63,62.22,53.19
2/10/2022,451.38,56.69,63.5,52.59
2/9/2022,459.5,57.37,64.04,52.74
2/8/2022,452.82,56.42,62.66,52.25
2/7/2022,449.25,56.26,61.97,
2/4/2022,450.85,56.18,62.4,51.21
2/3/2022,448.6,56.36,62.03,51.17
2/2/2022,459.26,57.16,62.45,52.01
2/1/2022,454.89,56.82,62.99,51.82
1/31/2022,451.77,56.14,62.6,51.36
1/28/2022,443.75,55.29,59.81,50.72
1/27/2022,433.16,55.11,59.95,50.44
1/26/2022,435.43,55.19,61.18,51.14
1/25/2022,436.44,55.08,62.34,51.23
1/24/2022,441.52,55.43,62.61,51.03
1/21/2022,439.98,56.27,63.52,51.72
1/20/2022,448.72,57.15,64.83,52.61
1/19/2022,453.76,57.54,63.19,52.98
1/18/2022,458.5,57.4,62.88,53.32
1/17/2022,,,,54
1/14/2022,466.75,58.26,63.68,53.83
1/13/2022,466.59,58.43,63.2,54.01
1/12/2022,473.08,58.78,65.18,54.05
1/11/2022,471.83,58.28,63.8,53.17
1/10/2022,467.22,57.64,62.13,52.91
1/7/2022,468.1,58.39,61.99,53.28
1/6/2022,469.98,58.08,61.02,53.18
1/5/2022,470.33,58.32,60.2,53.14
1/4/2022,479.68,58.81,61.59,53.1
1/3/2022,479.84,58.68,62.76,53.07
12/31/2021,476.99,58.16,62.77,53.35
12/30/2021,478.18,58.2,63.15,53.25
12/29/2021,479.53,58.51,60.96,52.86
12/28/2021,479.03,58.41,61.88,53.65
12/27/2021,479.4,58.33,62.52,53.66
